nome,squadra,ruolo,eta,presenze,minuti,gol,assist,xG,xA,gialli,rossi,quotazione_ufficiale,correttivo_statistico,valore_finale,analizzato,note_match,fattore_affidabilita,note_fbref,valore_v4
Kevin De Bruyne,Napoli,C,34,18,1165,5,2,3.52,4.02,1,0,44,1.045,46,True,match su cognome+squadra,0.939,"nome completo -- titolarita' 72%, minuti giocati 34% del possibile; 1.0 tackle+intercetti/90",43
Albert Guðmundsson,Fiorentina,C,28,33,2250,5,4,5.8,3.78,4,1,40,1.118,45,True,match su cognome+squadra,0.946,"nome completo -- titolarita' 82%, minuti giocati 66% del possibile; 0.3 tackle+intercetti/90",43
Luka Modrić,Milan,C,39,34,2811,2,3,1.25,4.03,4,0,43,1.047,45,True,match su cognome+squadra,1.042,"nome completo -- titolarita' 94%, minuti giocati 82% del possibile; 2.0 tackle+intercetti/90",47
Alisson Santos,Napoli,C,22,14,834,4,0,1.51,1.61,1,0,46,0.949,44,True,match su cognome+squadra,0.926,"nome completo -- titolarita' 64%, minuti giocati 24% del possibile; 1.1 tackle+intercetti/90",41
Arthur Atta,Fiorentina,C,22,32,2557,5,3,4.23,3.25,3,0,39,1.101,43,True,"match su cognome (squadra diversa, trasferimento presunto)",1.008,"nome completo -- titolarita' 91%, minuti giocati 75% del possibile; 1.4 tackle+intercetti/90",43
Piotr Zieliński,Inter,C,31,34,2045,6,3,2.1,4.24,3,0,39,1.096,43,True,match su cognome+squadra,0.961,"nome completo -- titolarita' 65%, minuti giocati 60% del possibile; 1.1 tackle+intercetti/90",41
Kristian Thorstvedt,Sassuolo,C,26,32,2460,4,4,6.64,2.63,9,0,38,1.11,42,True,match su cognome+squadra,1.019,"nome completo -- titolarita' 84%, minuti giocati 72% del possibile; 1.9 tackle+intercetti/90",43
Matteo Politano,Napoli,C,31,34,2200,2,5,3.13,5.6,4,0,38,1.094,42,True,match su cognome+squadra,0.954,"nome completo -- titolarita' 76%, minuti giocati 64% del possibile; 0.6 tackle+intercetti/90",40
Manu Koné,Roma,C,24,29,2456,2,3,1.94,3.5,2,0,40,1.038,42,True,match su cognome+squadra,1.024,"nome completo -- titolarita' 97%, minuti giocati 72% del possibile; 1.7 tackle+intercetti/90",43
Mattia Zaccagni,Lazio,C,30,26,2104,3,0,6.38,2.79,6,1,41,1.003,41,True,match su cognome+squadra,1.019,"nome completo -- titolarita' 100%, minuti giocati 62% del possibile; 1.8 tackle+intercetti/90",42
Alexis Saelemaekers,Milan,C,26,35,2788,3,3,3.6,4.79,5,0,38,1.085,41,True,match su cognome+squadra,1.05,"nome completo -- titolarita' 94%, minuti giocati 82% del possibile; 2.2 tackle+intercetti/90",43
Federico Bernardeschi,Bologna,C,31,29,1217,4,2,3.18,3.57,3,0,40,1.023,41,True,match su cognome+squadra,0.909,"nome completo -- titolarita' 41%, minuti giocati 36% del possibile; 0.9 tackle+intercetti/90",37
Máximo Perrone,Como,C,22,36,2742,3,4,2.49,2.54,8,0,35,1.076,38,True,match su cognome+squadra,1.036,"nome completo -- titolarita' 92%, minuti giocati 80% del possibile; 1.9 tackle+intercetti/90",39
Ederson,Atalanta,C,,,,,,,,,,38,1.0,38,False,non presente nelle nostre statistiche 2025-26 (nuovo/promosso/squadra non coperta),1.0,nessun candidato per cognome,38
Maxence Caqueret,Como,C,25,30,1485,2,6,1.74,2.78,3,0,35,1.06,37,True,match su cognome+squadra,0.982,"nome completo -- titolarita' 57%, minuti giocati 43% del possibile; 2.2 tackle+intercetti/90",36
Khéphren Thuram,Juventus,C,24,35,2442,3,3,4.06,2.65,2,0,35,1.063,37,True,match su cognome+squadra,1.01,"nome completo -- titolarita' 86%, minuti giocati 71% del possibile; 1.6 tackle+intercetti/90",37
Nicolò Fagioli,Fiorentina,C,24,33,2554,2,3,1.9,5.22,5,0,33,1.054,35,True,match su cognome+squadra,1.022,"nome completo -- titolarita' 91%, minuti giocati 75% del possibile; 1.7 tackle+intercetti/90",36
Rolando Mandragora,Fiorentina,C,28,34,2421,7,3,4.7,2.88,7,0,30,1.13,34,True,match su cognome+squadra,1.004,"nome completo -- titolarita' 88%, minuti giocati 71% del possibile; 1.4 tackle+intercetti/90",34
Ismaël Koné,Sassuolo,C,23,35,2737,6,0,5.08,1.76,5,1,32,1.051,34,True,match su cognome+squadra,0.999,"nome completo -- titolarita' 94%, minuti giocati 80% del possibile; 1.0 tackle+intercetti/90",34
Henrikh Mkhitaryan,Inter,C,36,30,1560,4,1,6.04,3.31,5,0,33,1.031,34,True,match su cognome+squadra,0.988,"nome completo -- titolarita' 53%, minuti giocati 46% del possibile; 2.4 tackle+intercetti/90",34
