nome,squadra,ruolo,posizione_raw,nazionalita,eta,presenze,titolarita,minuti,gol,assist,xG,xA,gialli,rossi,punteggio,valore_crediti,quotato,ha_dati_avanzati,dati_incompleti
Duván Zapata,Torino,A,FW,COL,34,28,11,1103,3,1,4.4,2.68,0,0,19.076333333333334,30,True,True,False
David Neres,Napoli,A,FWMF,BRA,28,16,10,922,3,3,1.48,3.79,3,0,18.536666666666665,29,True,True,False
Evan Ferguson,Roma,A,FW,IRL,20,16,10,773,3,2,3.48,1.69,1,0,18.128333333333334,28,True,True,False
Cristian Volpato,Sassuolo,A,FW,AUS,21,24,11,1064,2,4,1.75,2.9,4,0,17.163333333333334,27,True,True,False
Semih Kılıçsoy,Cagliari,A,FW,TUR,19,22,11,975,4,0,2.05,0.39,1,0,16.019,26,True,True,False
Thijs Dallinga,Bologna,A,FW,NED,24,23,9,811,2,2,3.89,0.72,2,0,15.201666666666666,25,True,True,False
Valentín Castellanos,Lazio,A,FW,ARG,26,11,8,692,2,3,2.06,2.22,2,0,15.057333333333332,24,True,True,False
Adam Buksa,Udinese,A,FW,POL,29,25,6,922,3,0,2.78,1,3,0,14.022666666666666,23,True,True,False
Ademola Lookman,Atalanta,A,FWMF,NGA,27,12,9,795,2,0,3.85,2.28,0,0,13.362999999999998,22,True,True,False
Boulaye Dia,Lazio,A,FWMF,SEN,28,27,14,1253,1,2,2.7,1.71,1,0,12.604333333333331,21,True,True,False
Gabriel Strefezza,Parma,A,FW,BRA,28,14,13,1007,2,2,1.06,1.07,3,0,12.492333333333333,21,True,True,False
Alieu Fadera,Sassuolo,A,FW,GAM,23,28,8,987,2,1,2.36,0.88,5,0,12.155,20,True,True,False
Daniel Maldini,Lazio,A,FW,ITA,23,12,9,687,2,1,2.15,0.56,0,0,11.511,19,True,True,False
Jack Harrison,Fiorentina,A,FWMF,ENG,28,15,10,981,1,3,0.92,1.33,1,0,10.986999999999998,19,True,True,False
Manor Solomon,Fiorentina,A,FWMF,ISR,26,16,9,890,2,1,1.01,2.41,1,0,11.54133333333333,19,True,True,False
Noa Lang,Napoli,A,FWMF,NED,26,18,7,666,1,2,1.37,1.97,2,0,9.786,17,True,True,False
Cyril Ngonge,Torino,A,FW,BEL,25,20,11,994,1,1,2.76,0.56,2,0,9.954666666666668,17,True,True,False
Niclas Füllkrug,Milan,A,FW,GER,32,20,3,659,1,0,3.41,2.28,0,0,9.508333333333333,16,True,True,False
